College Name,BTECH,EXAM,Rating,Address,img
"IIT Madras - Indian Institute of Technology - [IITM], Chennai","₹ 75,116",JEE ADVANCED, 8.5 / 10 ," Chennai, Tamil Nadu",https://images.collegedunia.com/public/college_data/images/appImage/1628340683slide33.jpg?h=300&w=250&mode=stretch
"IIT Delhi - Indian Institute of Technology [IITD], New Delhi","₹ 220,300",JEE ADVANCED, 8.8 / 10 ," New Delhi, Delhi NCR",https://images.collegedunia.com/public/college_data/images/appImage/25703_IIT_New.jpg?h=300&w=250&mode=stretch
"Woxsen University, Hyderabad","₹ 362,500",VITEEE, 8.2 / 10 ," Hyderabad, Telangana",https://images.collegedunia.com/public/college_data/images/appImage/14483_1444286530NHCE_NEW.jpg?h=300&w=250&mode=stretch
"IIT Bombay - Indian Institute of Technology - [IITB], Mumbai","₹ 228,000",JEE ADVANCED, 8.8 / 10 ," Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/appImage/1488973535e1.jpg?h=300&w=250&mode=stretch
"New Horizon College of Engineering - [NHCE], Bangalore","₹ 1,000,000",KCET, 8.6 / 10 ," Bangalore, Karnataka",https://images.collegedunia.com/public/college_data/images/appImage/1613293152Cover.jpg?h=300&w=250&mode=stretch
"IIT Kharagpur - Indian Institute of Technology - [IITKGP], Kharagpur","₹ 90,092",JEE ADVANCED, 8.6 / 10 ," Kharagpur, West Bengal",https://images.collegedunia.com/public/college_data/images/appImage/25948_IITK_New.jpg?h=300&w=250&mode=stretch
"BML Munjal University - [BMU], Gurgaon","₹ 252,000",JEE MAIN, 8.1 / 10 ," Gurgaon, Haryana",https://images.collegedunia.com/public/college_data/images/appImage/57446_Capture.jpg?h=300&w=250&mode=stretch
"IIT Kanpur - Indian Institute of Technology - [IITK], Kanpur","₹ 242,900",JEE ADVANCED, 8.5 / 10 ," Kanpur, Uttar Pradesh",https://images.collegedunia.com/public/college_data/images/appImage/25992_IITR_New.jpg?h=300&w=250&mode=stretch
"University of Engineering and Management - [UEM], Kolkata","₹ 171,200",IEMJEE, 7.9 / 10 ," Kolkata, West Bengal",https://images.collegedunia.com/public/college_data/images/appImage/25851_Untitled.jpg?h=300&w=250&mode=stretch
"IIT Roorkee - Indian Institute of Technology - [IITR], Roorkee","₹ 213,500",JEE ADVANCED, 8.7 / 10 ," Roorkee, Uttarakhand",https://images.collegedunia.com/public/college_data/images/appImage/25800_BITS_App.jpg?h=300&w=250&mode=stretch
